File,Initial_DD_Size,Initial_Time,Sifting_DD_Size,Sifting_Time
0410184_169.real,39,0.004615s,33,0.548969s
0410184_170.real,39,0.00925s,34,0.604367s
3_17_13.real,10,0.000971s,10,0.006317s
3_17_14.real,10,0.001116s,10,0.005678s
3_17_15.real,10,0.001249s,10,0.006361s
4_49_16.real,21,0.001731s,20,0.031632s
4_49_17.real,21,0.001479s,20,0.031876s
4gt10-v1_81.real,33,0.001098s,24,0.066641s
4gt11-v1_85.real,22,0.00097s,12,0.040599s
4gt11_82.real,18,0.001427s,18,0.02858s
4gt11_83.real,26,0.001092s,22,0.031885s
4gt11_84.real,22,0.000772s,12,0.049228s
4gt12-v0_86.real,22,0.001535s,22,0.029736s
4gt12-v0_87.real,30,0.001282s,23,0.049976s
4gt12-v0_88.real,36,0.000938s,15,0.052846s
4gt12-v1_89.real,24,0.001001s,16,0.055589s
4gt13-v1_93.real,26,0.000925s,14,0.055478s
4gt13_90.real,20,0.001482s,19,0.031533s
4gt13_91.real,28,0.001192s,21,0.0319s
4gt13_92.real,26,0.000849s,14,0.049323s
4gt4-v0_72.real,30,0.001003s,23,0.051419s
4gt4-v0_73.real,22,0.00178s,22,0.02905s
4gt4-v0_78.real,22,0.001537s,22,0.028312s
4gt4-v0_79.real,30,0.001245s,23,0.039089s
4gt4-v0_80.real,32,0.000941s,17,0.047705s
4gt4-v1_74.real,29,0.000981s,24,0.072938s
4gt5_75.real,42,0.000958s,21,0.036348s
4gt5_76.real,20,0.001457s,19,0.044774s
4gt5_77.real,27,0.001029s,16,0.065575s
4mod5-bdd_287.real,74,0.001424s,21,0.160356s
4mod5-v0_18.real,20,0.001244s,18,0.047397s
4mod5-v0_19.real,19,0.001018s,14,0.028931s
4mod5-v0_20.real,22,0.000935s,12,0.030976s
4mod5-v0_21.real,20,0.00102s,18,0.03052s
4mod5-v1_22.real,16,0.00097s,12,0.036258s
4mod5-v1_23.real,19,0.0012s,14,0.043049s
4mod5-v1_24.real,28,0.000992s,23,0.048183s
4mod5-v1_25.real,16,0.000889s,12,0.073324s
4mod7-v0_94.real,29,0.000997s,20,0.023611s
4mod7-v0_95.real,29,0.001022s,20,0.039543s
4mod7-v1_96.real,29,0.001259s,20,0.052403s
5xp1_194.real,720,0.014623s,97,1.47481s
9symml_195.real,41,0.011106s,41,0.081123s
C17_204.real,25,0.00113s,20,0.062804s
C7552_205.real,184,0.008169s,95,1.77776s
add16_174.real,174,0.011119s,143,7.86155s
add16_175.real,174,0.017428s,143,7.36389s
add32_183.real,350,0.034889s,287,34.0676s
add32_185.real,350,0.060861s,287,30.2017s
add64_184.real,-,-,-,-
add64_186.real,-,-,-,-
add6_196.real,139,0.488932s,53,0.638305s
add8_172.real,86,0.004072s,71,1.27214s
adr4_197.real,175,0.006459s,35,0.597799s
aj-e11_165.real,18,0.001482s,18,0.0117s
aj-e11_168.real,18,0.001416s,18,0.017208s
alu-bdd_288.real,34,0.001404s,31,0.078606s
alu-v0_26.real,23,0.000988s,17,0.033003s
alu-v0_27.real,30,0.00106s,22,0.030214s
alu-v1_28.real,26,0.001058s,24,0.027994s
alu-v1_29.real,24,0.001031s,22,0.026728s
alu-v2_30.real,29,0.001945s,29,0.014999s
alu-v2_31.real,18,0.001488s,18,0.014331s
alu-v2_32.real,22,0.001097s,22,0.016157s
