circuit,initial_size,none_size,none_time,sifting_size,sifting_time,group_size,group_time,iggroup_size,iggroup_time
0410184_169,39,39,0.388933,33,0.197047,33,0.175897,33,0.090209
0410184_170,39,39,0.35639,34,0.204426,36,0.153951,34,0.090413
3_17_13,10,10,0.003907,10,0.004249,10,0.003514,10,0.004341
3_17_14,10,10,0.005213,10,0.004693,10,0.003064,10,0.00398
3_17_15,10,10,0.003164,10,0.004523,10,0.004857,10,0.00429
4_49_16,21,21,0.015079,20,0.00978,20,0.008484,20,0.009488
4_49_17,21,21,0.018473,20,0.011232,20,0.009093,20,0.009983
4gt10-v1_81,33,33,0.03185,24,0.016853,24,0.012679,24,0.012686
4gt11-v1_85,22,22,0.030226,12,0.015064,12,0.015047,12,0.014639
4gt11_82,18,18,0.015776,18,0.018423,18,0.012796,18,0.010934
4gt11_83,26,26,0.028472,22,0.014675,22,0.012256,22,0.017502
4gt11_84,22,22,0.030497,12,0.014664,12,0.017131,12,0.012939
4gt12-v0_86,22,22,0.016508,22,0.017129,22,0.017497,22,0.016357
4gt12-v0_87,30,30,0.030441,23,0.015138,23,0.01056,23,0.018603
4gt12-v0_88,36,36,0.029839,15,0.016211,15,0.01374,15,0.014132
4gt12-v1_89,24,24,0.040759,16,0.022238,16,0.015049,16,0.016345
4gt13-v1_93,26,26,0.028336,14,0.016765,14,0.013495,14,0.016237
4gt13_90,20,20,0.030773,19,0.017052,19,0.015732,19,0.015908
4gt13_91,28,28,0.031655,21,0.015545,21,0.014069,21,0.015537
4gt13_92,26,26,0.030259,14,0.01763,14,0.012876,14,0.018313
4gt4-v0_72,30,30,0.03209,23,0.014211,23,0.010864,23,0.014889
4gt4-v0_73,22,22,0.015942,22,0.015113,22,0.012971,22,0.013045
4gt4-v0_78,22,22,0.017929,22,0.018713,22,0.01223,22,0.012533
4gt4-v0_79,30,30,0.026442,23,0.016217,23,0.014392,23,0.017548
4gt4-v0_80,32,32,0.032538,17,0.014429,17,0.011286,17,0.015986
4gt4-v1_74,29,29,0.044278,26,0.015858,26,0.013512,26,0.018552
4gt5_75,42,42,0.028686,21,0.01559,21,0.014946,21,0.013871
4gt5_76,20,20,0.034477,19,0.014782,19,0.012009,19,0.016967
4gt5_77,27,27,0.030415,16,0.014885,16,0.016303,16,0.015187
4mod5-bdd_287,74,74,0.121677,25,0.057622,21,0.032357,21,0.030761
4mod5-v0_18,20,20,0.032137,18,0.017014,18,0.014891,18,0.020748
4mod5-v0_19,19,19,0.027603,14,0.014125,14,0.017442,14,0.016199
4mod5-v0_20,22,22,0.037046,12,0.01532,12,0.01495,12,0.016897
