circuit,initial_size,none_size,none_time,sifting_size,sifting_time,group_size,group_time,iggroup_size,iggroup_time
0410184_169,39,39,0.341549,33,0.17464,33,0.168859,33,0.084924
0410184_170,39,39,0.341145,34,0.170467,34,0.178183,34,0.124176
3_17_13,10,10,0.003197,10,0.004052,10,0.004427,10,0.004013
3_17_14,10,10,0.003045,10,0.00441,10,0.006163,10,0.004857
3_17_15,10,10,0.005797,10,0.00672,10,0.004154,10,0.004239
4_49_16,21,21,0.016888,20,0.010094,20,0.010428,20,0.009431
4_49_17,21,21,0.017434,20,0.012137,20,0.011316,20,0.009798
4gt10-v1_81,33,33,0.031866,24,0.017487,24,0.020641,24,0.013365
4gt11-v1_85,22,22,0.026421,12,0.01798,12,0.017711,12,0.014472
4gt11_82,18,18,0.012162,18,0.017519,18,0.01881,18,0.014118
4gt11_83,26,26,0.028587,22,0.013344,22,0.015436,22,0.016149
4gt11_84,22,22,0.027782,12,0.01358,12,0.014417,12,0.015148
4gt12-v0_86,22,22,0.014916,22,0.020034,22,0.01991,22,0.014136
4gt12-v0_87,30,30,0.02708,23,0.012428,23,0.015376,23,0.020496
4gt12-v0_88,36,36,0.035621,15,0.019202,15,0.017906,15,0.014167
4gt12-v1_89,24,24,0.031054,16,0.013869,16,0.017396,16,0.017335
4gt13-v1_93,26,26,0.028701,14,0.017318,14,0.019023,14,0.018806
4gt13_90,20,20,0.031067,19,0.016154,19,0.019446,19,0.019225
4gt13_91,28,28,0.033635,21,0.015849,21,0.014721,21,0.029241
4gt13_92,26,26,0.039721,14,0.015611,14,0.017714,14,0.018241
4gt4-v0_72,30,30,0.029452,23,0.017155,23,0.016511,23,0.017216
4gt4-v0_73,22,22,0.014206,22,0.02286,22,0.025496,22,0.014775
4gt4-v0_78,22,22,0.014828,22,0.016039,22,0.014845,22,0.014212
4gt4-v0_79,30,30,0.031497,23,0.013724,23,0.01379,23,0.019055
4gt4-v0_80,32,32,0.028834,17,0.015398,17,0.01569,17,0.015371
4gt4-v1_74,29,29,0.03836,26,0.015056,26,0.013125,26,0.018983
4gt5_75,42,42,0.026391,21,0.013339,21,0.01188,21,0.010501
4gt5_76,20,20,0.025468,19,0.014445,19,0.016057,19,0.015826
4gt5_77,27,27,0.028235,16,0.014465,16,0.014211,16,0.020851
4mod5-bdd_287,74,74,0.101392,25,0.036859,25,0.03415,21,0.030423
4mod5-v0_18,20,20,0.028369,18,0.013133,18,0.011758,18,0.019153
4mod5-v0_19,19,19,0.030573,14,0.013764,14,0.015346,14,0.015742
4mod5-v0_20,22,22,0.035769,12,0.01701,12,0.015861,12,0.016627
4mod5-v0_21,20,20,0.026958,18,0.014622,18,0.016815,18,0.02025
4mod5-v1_22,16,16,0.027759,12,0.018108,12,0.018171,12,0.011797
4mod5-v1_23,19,19,0.027138,14,0.015975,14,0.015887,14,0.016168
4mod5-v1_24,28,28,0.029439,23,0.016111,23,0.015977,23,0.015766
4mod5-v1_25,16,16,0.035672,12,0.015996,12,0.016025,12,0.013374
4mod7-v0_94,29,29,0.028935,20,0.014572,20,0.015464,20,0.017401
4mod7-v0_95,29,29,0.031442,20,0.020859,20,0.023654,20,0.020876
4mod7-v1_96,29,29,0.030956,20,0.01449,20,0.017621,20,0.017053
5xp1_194,720,720,1.12505,138,0.298444,138,0.294618,204,0.288291
9symml_195,41,41,0.086564,41,0.095762,41,0.097365,41,0.104434
C17_204,25,25,0.074478,20,0.03782,20,0.037936,20,0.04332
C7552_205,184,184,1.14114,96,0.465651,96,0.399947,107,0.612996
add16_174,174,174,5.31443,143,2.46125,143,2.81921,143,1.03045
add16_175,174,174,5.41536,143,2.53497,143,2.63867,143,1.05241
add32_183,350,350,24.9393,287,14.9074,287,12.8663,287,5.86914
add32_185,350,350,27.2116,287,14.2516,287,14.4249,287,6.18935
add6_196,758,758,1.19478,53,0.844076,95,0.745462,95,0.603823
add8_172,86,86,1.69008,71,0.839229,71,0.720017,71,0.242958
adr4_197,175,175,0.695689,43,0.162626,43,0.189024,43,0.158499
aj-e11_165,18,18,0.011227,18,0.011279,18,0.011818,18,0.011959
aj-e11_168,18,18,0.010304,18,0.010035,18,0.01411,18,0.011607
alu-bdd_288,34,34,0.080425,31,0.041628,31,0.03909,31,0.040219
alu-v0_26,23,23,0.036488,17,0.017893,17,0.017845,17,0.016497
alu-v0_27,30,30,0.034292,22,0.01984,22,0.016938,22,0.013102
alu-v1_28,26,26,0.034121,24,0.02212,24,0.019504,24,0.017005
alu-v1_29,24,24,0.039416,22,0.02097,22,0.022901,22,0.018014
alu-v2_30,29,29,0.014286,29,0.018952,29,0.021637,29,0.017816
alu-v2_31,18,18,0.01726,18,0.021058,18,0.021686,18,0.01982
alu-v2_32,22,22,0.018689,22,0.020664,22,0.025658,22,0.025984
alu-v2_33,26,26,0.033992,22,0.020241,22,0.018366,22,0.014599
