circuit,initial_size,none_size,none_time,sifting_size,sifting_time,group_size,group_time,iggroup_size,iggroup_time
0410184_169,39,39,0.00072,33,0.230832,33,0.207613,33,0.099022
0410184_170,39,39,0.00141,34,0.219952,34,0.188952,34,0.09857
3_17_13,10,10,0.000107,10,0.004227,10,0.004704,10,0.006191
3_17_14,10,10,0.000107,10,0.004936,10,0.004629,10,0.007526
3_17_15,10,10,0.000285,10,0.004499,10,0.004405,10,0.007613
4_49_16,21,21,0.000207,20,0.017628,20,0.009062,20,0.008187
4_49_17,21,21,0.000153,20,0.012297,20,0.016203,20,0.013311
4gt10-v1_81,33,33,0.000135,24,0.016157,24,0.01802,24,0.015098
4gt11-v1_85,22,22,0.000106,12,0.015359,12,0.016472,12,0.017168
4gt11_82,18,18,0.000154,18,0.016881,18,0.017254,18,0.017007
4gt11_83,26,26,0.000129,22,0.016019,22,0.019402,22,0.020022
4gt11_84,22,22,9.7,12,0.016937,12,0.014675,12,0.015143
4gt12-v0_86,22,22,0.000289,22,0.017377,22,0.018758,22,0.015678
4gt12-v0_87,30,30,0.000123,23,0.01589,23,0.017068,23,0.017348
4gt12-v0_88,36,36,0.000125,15,0.016877,15,0.017022,15,0.014398
4gt12-v1_89,24,24,0.000111,16,0.01684,16,0.016284,16,0.014898
4gt13-v1_93,26,26,0.000121,14,0.01936,14,0.017412,14,0.018984
4gt13_90,20,20,0.000222,19,0.01741,19,0.01884,19,0.018645
4gt13_91,28,28,0.000132,21,0.01367,21,0.0134,21,0.019043
4gt13_92,26,26,0.000102,14,0.01953,14,0.017671,14,0.01772
4gt4-v0_72,30,30,0.000136,23,0.01673,23,0.015659,23,0.023659
4gt4-v0_73,22,22,0.000202,22,0.021917,22,0.01691,22,0.016693
4gt4-v0_78,22,22,0.000161,22,0.018835,22,0.016996,22,0.015431
4gt4-v0_79,30,30,0.00014,23,0.01615,23,0.012809,23,0.019263
4gt4-v0_80,32,32,0.000127,17,0.016816,17,0.016561,17,0.019303
4gt4-v1_74,29,29,0.00015,26,0.014966,26,0.016971,26,0.027125
4gt5_75,42,42,0.00014,21,0.019928,21,0.015454,21,0.016147
4gt5_76,20,20,0.000152,19,0.017093,19,0.016155,19,0.017215
4gt5_77,27,27,0.000119,16,0.016828,16,0.017794,16,0.019808
4mod5-bdd_287,74,74,0.000181,25,0.040023,25,0.038296,21,0.030522
4mod5-v0_18,20,20,0.000176,18,0.022835,18,0.024409,18,0.024282
4mod5-v0_19,19,19,0.000148,14,0.017039,14,0.016855,14,0.016541
4mod5-v0_20,22,22,0.000107,12,0.02276,12,0.020595,12,0.018415
4mod5-v0_21,20,20,0.00016,18,0.016899,18,0.018799,18,0.025253
4mod5-v1_22,16,16,0.000108,12,0.018011,12,0.017285,12,0.01522
4mod5-v1_23,19,19,0.000178,14,0.017544,14,0.024927,14,0.01821
4mod5-v1_24,28,28,0.000268,23,0.018568,23,0.023406,23,0.021026
4mod5-v1_25,16,16,0.00012,12,0.018324,12,0.017836,12,0.01605
4mod7-v0_94,29,29,0.000149,20,0.018322,20,0.019775,20,0.018827
4mod7-v0_95,29,29,0.000373,20,0.018274,20,0.022833,20,0.020949
4mod7-v1_96,29,29,0.000152,20,0.018788,20,0.023172,20,0.027915
5xp1_194,720,720,0.00204,138,0.408329,138,0.348106,204,0.362953
9symml_195,41,41,0.002432,41,0.143694,41,0.114805,41,0.10651
C17_204,25,25,0.000138,20,0.039824,20,0.039386,20,0.04339
C7552_205,184,184,0.000947,96,0.543308,96,0.453578,107,0.544977
add16_174,174,174,0.005168,143,2.88799,143,3.18652,143,1.37055
add16_175,174,174,0.007682,143,2.96266,143,3.14265,143,1.23842
add32_183,350,350,0.021396,287,13.3374,287,13.6173,287,5.6791
add32_185,350,350,0.035163,287,12.7086,287,13.5861,287,5.74438
add6_196,758,758,0.018797,53,0.928514,53,0.927853,95,0.660741
add8_172,86,86,0.001247,71,0.760062,71,0.699939,71,0.257131
adr4_197,175,175,0.001183,43,0.213931,43,0.186982,43,0.162408
aj-e11_165,18,18,0.000184,18,0.017374,18,0.010069,18,0.008753
aj-e11_168,18,18,0.000139,18,0.008725,18,0.009323,18,0.011311
alu-bdd_288,34,34,0.000206,31,0.040733,31,0.040163,31,0.04297
alu-v0_26,23,23,0.000188,17,0.016339,17,0.018087,17,0.024837
alu-v0_27,30,30,0.000125,22,0.02004,22,0.020824,22,0.017913
alu-v1_28,26,26,0.000138,24,0.019058,24,0.018018,24,0.018281
alu-v1_29,24,24,0.000119,22,0.019305,22,0.019458,22,0.018388
alu-v2_30,29,29,0.000276,29,0.020461,29,0.027312,29,0.020786
alu-v2_31,18,18,0.000141,18,0.02152,18,0.022259,18,0.02154
alu-v2_32,22,22,0.000134,22,0.020342,22,0.026287,22,0.019567
alu-v2_33,26,26,0.000133,22,0.025833,22,0.015874,22,0.017668
alu-v3_34,32,32,0.00013,23,0.01385,23,0.018066,23,0.015324
alu-v3_35,32,32,0.000124,24,0.013918,24,0.012054,26,0.021657
alu-v4_36,32,32,0.00013,26,0.018428,26,0.019107,26,0.017679
alu-v4_37,34,34,0.000134,26,0.017151,26,0.017145,26,0.017259
alu1_198,1616,1616,0.002046,504,1.03595,504,1.11661,258,0.789288
alu2_199,507,507,0.004616,287,0.344591,287,0.338598,425,0.236934
alu3_200,512,512,0.002418,264,0.417229,264,0.412341,235,0.292888
alu4_201,3212,3212,0.504522,932,4.5678,932,4.19962,2152,2.33703
apex4_202,2775,2775,0.485729,2093,9.5498,2093,9.92799,2291,8.33078
apla_203,397,397,0.001985,293,0.622442,293,0.670749,298,0.428525
arb8_323,3097,3097,0.023433,99,1.27467,98,1.68097,101,0.703874
c2_181,150,150,0.009821,136,2.13742,136,1.78882,136,1.11551
c2_182,512,512,0.062159,354,2.48308,354,2.7553,354,0.848582
clip_206,264,264,0.004153,182,0.35746,182,0.350368,137,0.270022
cm150a_210,131352,131352,1.24043,146,1.82809,146,1.99156,147,1.18399
