circuit,initial_size,none_size,none_time,sifting_size,sifting_time,group_size,group_time,iggroup_size,iggroup_time,lb_size,lb_time,tightlb_size,tightlb_time,iglb_size,iglb_time
0410184_169,39,39,0.000658,33,0.207148,33,0.201051,33,0.105261,33,0.083619,33,0.067563,33,0.104439
0410184_170,39,39,0.001424,34,0.173903,34,0.191874,34,0.11221,34,0.087231,34,0.067075,34,0.105445
3_17_13,10,10,0.000208,10,0.004982,10,0.005794,10,0.007659,10,0.005251,10,0.01201,10,0.007525
3_17_14,10,10,0.000101,10,0.004637,10,0.005588,10,0.005821,10,0.006018,10,0.010131,10,0.00403
3_17_15,10,10,0.000242,10,0.005526,10,0.004643,10,0.004248,10,0.004544,10,0.012352,10,0.007082
4_49_16,21,21,0.000168,20,0.011361,20,0.011542,20,0.00799,20,0.010731,20,0.017792,20,0.009051
4_49_17,21,21,0.000134,20,0.010853,20,0.01188,20,0.010015,20,0.010054,20,0.017531,20,0.010078
4gt10-v1_81,33,33,0.000119,24,0.014792,24,0.014155,24,0.017733,24,0.015496,22,0.016183,24,0.017472
4gt11-v1_85,22,22,0.000205,12,0.014617,12,0.015881,12,0.013921,12,0.013197,12,0.016544,12,0.010983
4gt11_82,18,18,0.000135,18,0.016404,18,0.016745,18,0.012419,18,0.016527,18,0.024175,18,0.017633
4gt11_83,26,26,0.000119,22,0.016322,22,0.016716,22,0.016752,22,0.015494,22,0.026651,22,0.020208
4gt11_84,22,22,9.1,12,0.018265,12,0.015346,12,0.020635,12,0.012494,12,0.018185,12,0.015819
4gt12-v0_86,22,22,0.000215,22,0.020682,22,0.019044,22,0.019307,22,0.016444,21,0.018336,22,0.017849
4gt12-v0_87,30,30,0.000128,23,0.01666,23,0.016111,23,0.017711,23,0.012118,23,0.01822,23,0.012351
4gt12-v0_88,36,36,0.00012,15,0.016487,15,0.015652,15,0.01868,15,0.015504,15,0.017828,15,0.016436
4gt12-v1_89,24,24,9.8,16,0.016672,16,0.01469,16,0.015893,16,0.017081,16,0.021131,16,0.01747
4gt13-v1_93,26,26,0.000105,14,0.014688,14,0.01754,14,0.016697,14,0.014718,14,0.018884,14,0.015969
4gt13_90,20,20,0.000165,19,0.017784,19,0.015871,19,0.012006,19,0.016138,19,0.02008,19,0.014222
4gt13_91,28,28,0.000126,21,0.015385,21,0.013288,21,0.018182,21,0.014947,21,0.017734,21,0.015854
4gt13_92,26,26,0.000113,14,0.037671,14,0.020201,14,0.025901,14,0.015463,14,0.018854,14,0.017208
4gt4-v0_72,30,30,0.000123,23,0.016476,23,0.014819,23,0.019192,23,0.016222,23,0.025975,23,0.01595
4gt4-v0_73,22,22,0.000168,22,0.016934,22,0.017785,22,0.01586,22,0.014546,21,0.015207,22,0.016501
4gt4-v0_78,22,22,0.000136,22,0.016694,22,0.014549,22,0.015045,22,0.015164,21,0.016587,22,0.014623
4gt4-v0_79,30,30,0.000124,23,0.015607,23,0.013814,23,0.016966,23,0.01242,23,0.019338,23,0.0169
4gt4-v0_80,32,32,0.000119,17,0.01392,17,0.013776,17,0.018578,17,0.020108,17,0.027494,17,0.014826
4gt4-v1_74,29,29,0.000124,26,0.01504,26,0.014802,26,0.017419,26,0.012946,21,0.021503,26,0.018344
4gt5_75,42,42,0.000118,21,0.014525,21,0.014435,21,0.013094,21,0.012195,21,0.016969,21,0.013156
4gt5_76,20,20,0.00015,19,0.015911,19,0.016864,19,0.013114,19,0.012491,19,0.015862,19,0.013924
4gt5_77,27,27,0.000106,16,0.01357,16,0.013258,16,0.017217,16,0.012059,16,0.017268,16,0.016816
4mod5-bdd_287,74,74,0.000185,25,0.035559,25,0.033294,21,0.027932,25,0.024062,19,0.022822,21,0.029177
4mod5-v0_18,20,20,0.000159,18,0.01224,18,0.013011,18,0.018486,18,0.016016,18,0.023123,18,0.017014
4mod5-v0_19,19,19,0.000111,14,0.014426,14,0.015914,14,0.015386,14,0.014919,11,0.016947,14,0.012734
4mod5-v0_20,22,22,0.000107,12,0.01518,12,0.015688,12,0.013373,12,0.014362,11,0.017693,12,0.014657
4mod5-v0_21,20,20,0.000153,18,0.012947,18,0.016048,18,0.020244,18,0.014154,18,0.017164,18,0.017724
4mod5-v1_22,16,16,0.000101,12,0.014055,12,0.015443,12,0.012262,12,0.013838,11,0.016511,12,0.013173
4mod5-v1_23,19,19,0.000148,14,0.014854,14,0.015487,14,0.016411,14,0.016387,11,0.017978,14,0.016492
4mod5-v1_24,28,28,0.000124,23,0.016498,23,0.016668,23,0.01651,23,0.015098,15,0.016378,23,0.016371
4mod5-v1_25,16,16,0.000125,12,0.017401,12,0.016214,12,0.011354,12,0.012615,11,0.017208,12,0.013416
4mod7-v0_94,29,29,0.000176,20,0.013355,20,0.016333,20,0.015711,20,0.015414,18,0.018532,20,0.013016
4mod7-v0_95,29,29,0.00013,20,0.016186,20,0.015088,20,0.01724,20,0.015516,18,0.017655,20,0.022163
4mod7-v1_96,29,29,0.000129,20,0.016787,20,0.017713,20,0.016075,20,0.017083,18,0.017182,20,0.016278
5xp1_194,720,720,0.0018,138,0.287179,138,0.302716,204,0.306652,129,0.251354,128,0.244462,204,0.339708
9symml_195,41,41,0.001285,41,0.093723,41,0.094362,41,0.093798,41,0.095504,41,0.110735,41,0.089727
C17_204,25,25,0.000146,20,0.050498,20,0.038312,20,0.041652,20,0.036047,20,0.043673,20,0.04027
C7552_205,184,184,0.000892,96,0.420656,96,0.506217,107,0.448363,96,0.364597,96,0.442739,107,0.462382
add16_174,174,174,0.004938,143,2.79102,143,2.77676,143,1.356,143,1.27535,143,0.509665,143,1.59393
add16_175,174,174,0.008957,143,3.33624,143,2.98257,143,1.43882,143,0.957791,143,0.406529,143,1.21381
add32_183,350,350,0.019076,287,11.4673,287,13.2466,287,5.99117,287,4.93002,287,1.60914,287,5.27421
add32_185,350,350,0.030744,287,12.7587,287,11.2489,287,5.30818,287,4.96946,287,1.75846,287,5.67275
add6_196,758,758,0.016899,53,0.814165,53,0.803309,95,0.674551,203,0.477153,328,0.38991,95,0.641269
add8_172,86,86,0.001027,71,0.61004,71,0.570383,71,0.280786,71,0.181731,71,0.125215,71,0.295878
adr4_197,175,175,0.001224,43,0.147807,43,0.138702,43,0.14475,109,0.142934,117,0.150522,43,0.145294
aj-e11_165,18,18,0.000192,18,0.010124,18,0.01111,18,0.010408,18,0.010573,18,0.01648,18,0.011138
aj-e11_168,18,18,0.000122,18,0.008739,18,0.008515,18,0.012599,18,0.008397,18,0.016212,18,0.008045
alu-bdd_288,34,34,0.000175,31,0.039869,31,0.052235,31,0.03167,31,0.029334,29,0.033603,31,0.035973
alu-v0_26,23,23,0.000126,17,0.015273,17,0.015587,17,0.015585,17,0.014819,17,0.014944,17,0.016522
alu-v0_27,30,30,0.00015,22,0.01551,22,0.016875,22,0.014619,22,0.015884,20,0.018987,22,0.012674
alu-v1_28,26,26,0.000131,24,0.01658,24,0.017943,24,0.0139,24,0.018932,24,0.025883,24,0.015256
alu-v1_29,24,24,0.000124,22,0.017593,22,0.033798,22,0.024644,22,0.015601,20,0.015389,22,0.016598
alu-v2_30,29,29,0.000236,29,0.019072,29,0.019374,29,0.016359,29,0.012341,29,0.023581,29,0.01578
alu-v2_31,18,18,0.000141,18,0.018516,18,0.015209,18,0.0178,18,0.017816,18,0.020755,18,0.019172
alu-v2_32,22,22,0.000118,22,0.017852,22,0.017038,22,0.017635,22,0.015578,22,0.020905,22,0.018136
alu-v2_33,26,26,0.000139,22,0.019025,22,0.017441,22,0.011278,22,0.018421,20,0.01917,22,0.012694
alu-v3_34,32,32,0.000162,23,0.011143,23,0.012073,23,0.0215,23,0.014457,23,0.016795,23,0.01903
alu-v3_35,32,32,0.000137,24,0.01392,24,0.01724,26,0.025026,24,0.014868,26,0.021888,26,0.01858
alu-v4_36,32,32,0.000125,26,0.017532,26,0.018191,26,0.015516,26,0.015101,24,0.019635,26,0.017078
alu-v4_37,34,34,0.000183,26,0.016602,26,0.019172,26,0.016308,30,0.016488,28,0.015566,26,0.016306
alu1_198,1616,1616,0.002325,504,0.972659,504,0.888599,428,0.813952,681,0.568156,748,0.49625,428,0.834628
alu2_199,507,507,0.005661,287,0.266408,287,0.26268,425,0.247905,445,0.170958,279,0.15934,425,0.278618
