circuit,qubits,gates,initial_size,iggroup_size,iggroup_time
0410184_169,14,46,39,34,0.060517
0410184_170,14,41,39,49,0.094225
3_17_13,3,6,10,10,0.003313
3_17_14,3,6,10,10,0.002441
3_17_15,3,4,10,10,0.004055
4_49_16,4,16,21,20,0.007096
4_49_17,4,12,21,20,0.011146
4gt10-v1_81,5,6,33,24,0.00996
4gt11-v1_85,5,4,22,12,0.016532
4gt11_82,5,12,18,18,0.01515
4gt11_83,5,8,26,22,0.052717
4gt11_84,5,3,22,12,0.022702
4gt12-v0_86,5,14,22,22,0.023411
4gt12-v0_87,5,10,30,23,0.014198
4gt12-v0_88,5,5,36,15,0.012973
4gt12-v1_89,5,5,24,16,0.020128
4gt13-v1_93,5,4,26,14,0.012475
4gt13_90,5,14,20,19,0.014997
4gt13_91,5,10,28,21,0.017925
4gt13_92,5,3,26,14,0.015349
4gt4-v0_72,5,6,30,23,0.0153
4gt4-v0_73,5,17,22,22,0.020877
4gt4-v0_78,5,13,22,22,0.023341
4gt4-v0_79,5,9,30,23,0.025632
4gt4-v0_80,5,5,32,17,0.02817
4gt4-v1_74,5,5,29,26,0.030075
4gt5_75,5,5,42,21,0.020435
4gt5_76,5,13,20,19,0.027253
4gt5_77,5,4,27,16,0.02052
4mod5-bdd_287,7,8,74,25,0.044997
4mod5-v0_18,5,9,20,18,0.03657
4mod5-v0_19,5,5,19,14,0.020194
4mod5-v0_20,5,5,22,12,0.027275
4mod5-v0_21,5,3,20,18,0.033382
4mod5-v1_22,5,5,16,12,0.027039
4mod5-v1_23,5,8,19,14,0.017852
4mod5-v1_24,5,5,28,23,0.024002
4mod5-v1_25,5,3,16,12,0.023349
4mod7-v0_94,5,6,29,20,0.022191
4mod7-v0_95,5,6,29,20,0.021554
4mod7-v1_96,5,7,29,20,0.023962
5xp1_194,17,85,720,204,0.449063
9symml_195,10,129,41,41,0.170796
C17_204,7,9,25,20,0.065088
C7552_205,21,80,184,107,0.41385
add16_174,49,64,174,143,1.24781
add16_175,49,32,174,835,1.12262
add32_183,97,128,350,287,6.37697
add32_185,97,64,350,244585,17.0854
add6_196,19,229,758,95,0.79436
add8_172,25,32,86,71,0.258437
adr4_197,13,55,175,94,0.132445
aj-e11_165,4,13,18,18,0.014494
aj-e11_168,4,10,18,18,0.018523
alu-bdd_288,7,9,34,31,0.062245
alu-v0_26,5,6,23,17,0.023072
alu-v0_27,5,6,30,22,0.022669
alu-v1_28,5,7,26,24,0.025629
alu-v1_29,5,7,24,22,0.03265
alu-v2_30,5,18,29,29,0.033023
alu-v2_31,5,13,18,18,0.018501
alu-v2_32,5,7,22,22,0.023798
alu-v2_33,5,7,26,22,0.023967
alu-v3_34,5,7,32,23,0.026485
alu-v3_35,5,7,32,26,0.029659
alu-v4_36,5,7,32,26,0.013997
alu-v4_37,5,7,34,26,0.016623
alu1_198,20,32,1616,258,1.01898
alu2_199,16,157,507,425,0.192696
alu3_200,18,94,512,235,0.367952
alu4_201,22,1063,3212,1846,3.70824
apex4_202,28,5376,2775,2213,7.4068
apla_203,22,80,397,298,0.330927
arb8_323,24,24,3097,111,1.70465
c2_181,35,116,150,136,0.893834
c2_182,35,136,512,639,0.612512
clip_206,14,174,264,155,0.167218
cm150a_210,22,53,131352,161,0.581864
cm151a_211,28,33,4096,211,0.973292
cm152a_212,12,16,534,53,0.144328
cm163a_213,29,39,1075,237,0.697589
cm42a_207,14,35,81,58,0.183891
cm82a_208,8,22,31,21,0.037875
cm85a_209,14,69,102,66,0.103078
cmb_214,20,18,69,62,0.215958
cnt3-5_179,16,25,48,48,0.099597
cnt3-5_180,16,20,48,48,0.101906
co14_215,15,30,42,42,0.268806
con1_216,9,21,37,35,0.064117
cordic_218,25,2533,114,141,1.44089
cu_219,25,40,317,158,0.407634
cycle10_2_110,12,19,67,49,0.100593
