source,type,n,round,dd_size,purity,trace,dense_nodes
QFT_4,QFT,4,0,5,1.000000,1.000000,256
QFT_4,QFT,4,1,5,0.766087,1.000000,256
QFT_4,QFT,4,2,5,0.598109,1.000000,256
QFT_4,QFT,4,3,5,0.475761,1.000000,256
QFT_4,QFT,4,4,5,0.385405,1.000000,256
QFT_4,QFT,4,5,5,0.317768,1.000000,256
QFT_4,QFT,4,6,5,0.266476,1.000000,256
QFT_4,QFT,4,7,5,0.227092,1.000000,256
QFT_4,QFT,4,8,5,0.196494,1.000000,256
QFT_4,QFT,4,9,5,0.172457,1.000000,256
QFT_4,QFT,4,10,5,0.153378,1.000000,256
Clifford_4_42,Clifford,4,0,14,1.000000,1.000000,256
Clifford_4_42,Clifford,4,1,18,0.667816,1.000000,256
Clifford_4_42,Clifford,4,2,18,0.456577,1.000000,256
Clifford_4_42,Clifford,4,3,18,0.321208,1.000000,256
Clifford_4_42,Clifford,4,4,18,0.233772,1.000000,256
Clifford_4_42,Clifford,4,5,18,0.176843,1.000000,256
Clifford_4_42,Clifford,4,6,18,0.139474,1.000000,256
Clifford_4_42,Clifford,4,7,18,0.114746,1.000000,256
Clifford_4_42,Clifford,4,8,18,0.098249,1.000000,256
Clifford_4_42,Clifford,4,9,18,0.087153,1.000000,256
Clifford_4_42,Clifford,4,10,18,0.079631,1.000000,256
QFT_5,QFT,5,0,6,1.000000,1.000000,1024
QFT_5,QFT,5,1,6,0.716717,1.000000,1024
QFT_5,QFT,5,2,6,0.525987,1.000000,1024
QFT_5,QFT,5,3,6,0.395127,1.000000,1024
QFT_5,QFT,5,4,6,0.303666,1.000000,1024
QFT_5,QFT,5,5,6,0.238582,1.000000,1024
QFT_5,QFT,5,6,6,0.191458,1.000000,1024
QFT_5,QFT,5,7,6,0.156766,1.000000,1024
QFT_5,QFT,5,8,6,0.130824,1.000000,1024
QFT_5,QFT,5,9,6,0.111135,1.000000,1024
QFT_5,QFT,5,10,6,0.095985,1.000000,1024
Clifford_5_42,Clifford,5,0,30,1.000000,1.000000,1024
Clifford_5_42,Clifford,5,1,46,0.604743,1.000000,1024
Clifford_5_42,Clifford,5,2,46,0.377769,1.000000,1024
Clifford_5_42,Clifford,5,3,46,0.245103,1.000000,1024
Clifford_5_42,Clifford,5,4,46,0.166076,1.000000,1024
Clifford_5_42,Clifford,5,5,46,0.118053,1.000000,1024
Clifford_5_42,Clifford,5,6,46,0.088270,1.000000,1024
Clifford_5_42,Clifford,5,7,46,0.069415,1.000000,1024
