circuit,initial_size,sifting_size,sifting_time,ig_size,ig_time
0410184_169,39,33,0.168174,33,0.184423
0410184_170,39,34,0.17793,34,0.203489
3_17_13,10,10,0.004946,10,0.005768
3_17_14,10,10,0.005808,10,0.003753
3_17_15,10,10,0.004149,10,0.006864
4_49_16,21,20,0.010728,20,0.009989
4_49_17,21,20,0.011188,20,0.010382
4gt10-v1_81,33,24,0.0166,24,0.017724
4gt11-v1_85,22,12,0.013052,12,0.015028
4gt11_82,18,18,0.017816,18,0.016379
4gt11_83,26,22,0.017174,22,0.017758
4gt11_84,22,12,0.016073,12,0.016296
4gt12-v0_86,22,22,0.018254,22,0.016751
4gt12-v0_87,30,23,0.017145,23,0.018668
4gt12-v0_88,36,15,0.013713,15,0.016518
4gt12-v1_89,24,16,0.016755,16,0.016907
4gt13-v1_93,26,14,0.016953,14,0.01628
4gt13_90,20,19,0.015507,19,0.021995
4gt13_91,28,21,0.014291,21,0.019889
4gt13_92,26,14,0.015495,14,0.019669
4gt4-v0_72,30,23,0.014941,23,0.019743
4gt4-v0_73,22,22,0.018484,22,0.018363
4gt4-v0_78,22,22,0.017543,22,0.016236
4gt4-v0_79,30,23,0.01703,23,0.027496
4gt4-v0_80,32,17,0.017784,17,0.016908
4gt4-v1_74,29,26,0.01407,26,0.020454
4gt5_75,42,21,0.016346,21,0.019797
4gt5_76,20,19,0.017631,19,0.018402
4gt5_77,27,16,0.013729,16,0.019459
4mod5-bdd_287,74,25,0.041056,25,0.042425
4mod5-v0_18,20,18,0.016033,18,0.018321
4mod5-v0_19,19,14,0.015702,14,0.019112
4mod5-v0_20,22,12,0.015952,12,0.023119
4mod5-v0_21,20,18,0.021728,18,0.017735
4mod5-v1_22,16,12,0.016118,12,0.016582
4mod5-v1_23,19,14,0.016076,14,0.016366
4mod5-v1_24,28,23,0.016833,23,0.018172
4mod5-v1_25,16,12,0.013851,12,0.016173
4mod7-v0_94,29,20,0.016108,20,0.015305
4mod7-v0_95,29,20,0.016105,20,0.014315
4mod7-v1_96,29,20,0.015516,20,0.015586
5xp1_194,720,138,0.301827,204,0.367817
9symml_195,41,41,0.11053,41,0.11179
C17_204,25,20,0.037335,20,0.044196
C7552_205,184,96,0.393637,107,0.455199
add16_174,174,143,2.46778,143,2.52539
add16_175,174,143,2.507,143,2.48984
add32_183,350,287,11.2763,287,11.2236
add32_185,350,287,11.4692,287,11.1257
add6_196,758,53,0.775704,113,0.818987
add8_172,86,71,0.672301,71,0.587636
adr4_197,175,43,0.161686,43,0.172643
aj-e11_165,18,18,0.010865,18,0.010906
aj-e11_168,18,18,0.009914,18,0.010697
alu-bdd_288,34,31,0.035216,31,0.038846
alu-v0_26,23,17,0.014972,17,0.018892
alu-v0_27,30,22,0.012289,22,0.016888
alu-v1_28,26,24,0.01629,24,0.015416
alu-v1_29,24,22,0.017663,22,0.016037
alu-v2_30,29,29,0.015233,29,0.017522
alu-v2_31,18,18,0.016032,18,0.016026
alu-v2_32,22,22,0.014541,22,0.017077
alu-v2_33,26,22,0.016367,22,0.015516
alu-v3_34,32,23,0.011027,23,0.018878
alu-v3_35,32,24,0.014838,26,0.01737
alu-v4_36,32,26,0.019648,26,0.019973
alu-v4_37,34,26,0.015216,26,0.014292
alu1_198,1616,504,1.05069,443,0.96676
alu2_199,507,287,0.272214,425,0.288485
alu3_200,512,264,0.32081,264,0.353753
alu4_201,3212,932,3.86104,2026,3.42265
apex4_202,2775,2093,8.08078,2130,8.22072
apla_203,397,293,0.479837,293,0.577278
arb8_323,3097,99,1.77267,98,1.88755
