File,Initial_DD_Size,Initial_Time,Sifting_DD_Size,Sifting_Time
0410184_169.real,39,0.000677s,33,0.262829s
0410184_170.real,39,0.001453s,34,0.265975s
3_17_13.real,10,0.000108s,10,0.003189s
3_17_14.real,10,0.000178s,10,0.002642s
3_17_15.real,10,0.000135s,10,0.002853s
4_49_16.real,21,0.000178s,20,0.012209s
4_49_17.real,21,0.000147s,20,0.012905s
4gt10-v1_81.real,33,0.000138s,24,0.01989s
4gt11-v1_85.real,22,0.00011s,12,0.022017s
4gt11_82.real,18,0.000147s,18,0.011369s
4gt11_83.real,26,0.000131s,22,0.02206s
4gt11_84.real,22,0.000105s,12,0.023526s
4gt12-v0_86.real,22,0.000171s,22,0.011504s
4gt12-v0_87.real,30,0.000154s,23,0.020857s
4gt12-v0_88.real,36,0.00013s,15,0.021607s
4gt12-v1_89.real,24,0.000108s,16,0.023005s
4gt13-v1_93.real,26,0.000122s,14,0.020898s
4gt13_90.real,20,0.000155s,19,0.022144s
4gt13_91.real,28,0.000138s,21,0.021378s
4gt13_92.real,26,0.0001s,14,0.021226s
4gt4-v0_72.real,30,0.000137s,23,0.019961s
4gt4-v0_73.real,22,0.000186s,22,0.011803s
4gt4-v0_78.real,22,0.000203s,22,0.014982s
4gt4-v0_79.real,30,0.0002s,23,0.019544s
4gt4-v0_80.real,32,0.000128s,17,0.021456s
4gt4-v1_74.real,29,0.000128s,24,0.030443s
4gt5_75.real,42,0.000126s,21,0.020571s
4gt5_76.real,20,0.000145s,19,0.021066s
4gt5_77.real,27,0.000122s,16,0.020412s
4mod5-bdd_287.real,74,0.00021s,21,0.079214s
4mod5-v0_18.real,20,0.000159s,18,0.020839s
4mod5-v0_19.real,19,0.000137s,14,0.021257s
4mod5-v0_20.real,22,0.00011s,12,0.02287s
4mod5-v0_21.real,20,0.000159s,18,0.023869s
4mod5-v1_22.real,16,0.000109s,12,0.022386s
4mod5-v1_23.real,19,0.000162s,14,0.027357s
4mod5-v1_24.real,28,0.000124s,23,0.022733s
4mod5-v1_25.real,16,0.00011s,12,0.022181s
4mod7-v0_94.real,29,0.000149s,20,0.022501s
4mod7-v0_95.real,29,0.000134s,20,0.021335s
4mod7-v1_96.real,29,0.000139s,20,0.021584s
5xp1_194.real,720,0.001787s,97,0.801996s
9symml_195.real,41,0.00209s,41,0.080232s
C17_204.real,25,0.000128s,20,0.051005s
C7552_205.real,184,0.000909s,95,0.953069s
add16_174.real,174,0.004446s,143,4.08258s
add16_175.real,174,0.011548s,143,5.73606s
add32_183.real,350,0.021s,287,34.3043s
add32_185.real,350,0.033836s,287,31.5111s
add64_184.real,-,-,-,-
add64_186.real,-,-,-,-
add6_196.real,758,0.021417s,53,1.47335s
add8_172.real,86,0.001301s,71,1.84866s
adr4_197.real,175,0.001136s,35,0.764207s
aj-e11_165.real,18,0.000195s,18,0.015033s
aj-e11_168.real,18,0.000153s,18,0.014189s
alu-bdd_288.real,34,0.00022s,31,0.093101s
alu-v0_26.real,23,0.000155s,17,0.042254s
alu-v0_27.real,30,0.000155s,22,0.044371s
alu-v1_28.real,26,0.00015s,24,0.04583s
alu-v1_29.real,24,0.000149s,22,0.043956s
alu-v2_30.real,29,0.000292s,29,0.031536s
alu-v2_31.real,18,0.000176s,18,0.024223s
alu-v2_32.real,22,0.000144s,22,0.028099s
alu-v2_33.real,26,0.000151s,22,0.03045s
alu-v3_34.real,32,0.00016s,23,0.045918s
alu-v3_35.real,32,0.000143s,24,0.03499s
alu-v4_36.real,32,0.000155s,26,0.049559s
alu-v4_37.real,34,0.000205s,26,0.071021s
alu1_198.real,1616,0.002128s,290,2.98137s
alu2_199.real,507,0.00525s,267,1.14727s
alu3_200.real,512,0.00264s,214,1.54123s
alu4_201.real,3212,0.533348s,932,3.33335s
alu_318.real,-,-,-,-
alu_319.real,-,-,-,-
apex2_289.real,-,-,-,-
apex4_202.real,2775,0.530317s,2092,8.57662s
apex5_290.real,-,-,-,-
apla_203.real,397,0.002348s,269,2.31677s
arb8_322.real,-,-,-,-
arb8_323.real,3097,0.029854s,86,2.95928s
avg16_324.real,-,-,-,-
avg8_325.real,-,-,-,-
bw_291.real,-,-,-,-
c2_181.real,150,0.009642s,136,2.45298s
c2_182.real,512,0.060835s,346,4.60363s
clip_206.real,264,0.005748s,163,0.633837s
cm150a_210.real,131352,1.1992s,147,2.84173s
cm151a_211.real,4096,0.008748s,132,6.26501s
cm152a_212.real,534,0.000538s,51,0.249468s
cm163a_213.real,1075,0.00202s,183,3.07107s
cm42a_207.real,81,0.000354s,54,0.430707s
cm82a_208.real,31,0.000243s,21,0.100482s
cm85a_209.real,102,0.001786s,74,0.643794s
cmb_214.real,69,0.000426s,60,0.769367s
cnt3-5_179.real,48,0.000546s,48,0.312063s
cnt3-5_180.real,48,0.000423s,48,0.262274s
co14_215.real,42,0.000368s,42,0.227054s
con1_216.real,37,0.000254s,35,0.12939s
cordic_218.real,114,0.994165s,112,1.47052s
cps_292.real,-,-,-,-
cu_219.real,317,0.001237s,160,2.15263s
cycle10_293.real,397810,14.8s,751,471.277s
cycle10_2_110.real,67,0.000364s,27,1.10699s
cycle17_3_112.real,236,0.002006s,54,3.53483s
dc1_220.real,64,0.000363s,54,0.185017s
dc1_221.real,64,0.000298s,54,0.196617s
dc2_222.real,338,0.000972s,101,0.595036s
decod24-bdd_294.real,17,0.00016s,15,0.040652s
decod24-enable_124.real,56,0.000195s,34,0.039037s
decod24-enable_125.real,56,0.00017s,34,0.041547s
decod24-enable_126.real,56,0.000325s,34,0.041844s
decod24-v0_38.real,16,0.00012s,13,0.014682s
decod24-v0_39.real,16,0.000124s,13,0.013747s
decod24-v0_40.real,22,0.000185s,18,0.014539s
decod24-v1_41.real,13,0.000122s,13,0.008542s
decod24-v1_42.real,22,0.000168s,18,0.016788s
decod24-v2_43.real,16,0.000126s,13,0.013903s
decod24-v2_44.real,22,0.000154s,18,0.014213s
decod24-v3_45.real,16,0.000127s,16,0.009021s
decod24-v3_46.real,22,0.000138s,18,0.016755s
decod_217.real,184,0.000968s,95,1.10209s
dist_223.real,204,0.002565s,151,0.595556s
dk17_224.real,362,0.002598s,215,1.60688s
dk27_225.real,352,0.000662s,65,0.988734s
e64-bdd_295.real,-,-,-,-
ex-1_166.real,9,0.000111s,9,0.003559s
ex1010_230.real,1468,0.060337s,1443,1.75314s
ex1_226.real,12,0.000119s,12,0.019581s
ex2_227.real,21,0.000139s,18,0.042795s
ex3_228.real,21,0.000141s,18,0.042061s
ex3_229.real,19,0.000134s,18,0.053519s
ex5p_296.real,-,-,-,-
example2_231.real,507,0.005068s,267,0.719637s
f2_232.real,40,0.000164s,29,0.12078s
f51m_233.real,5103,0.15423s,1321,4.09159s
fredkin_5.real,9,0.000127s,9,0.003333s
fredkin_6.real,9,0.000109s,9,0.003617s
fredkin_7.real,9,0.000149s,9,0.003626s
frg1_234.real,1286,0.017768s,476,4.15921s
frg2_297.real,-,-,-,-
graycode6_47.real,12,0.000115s,12,0.024588s
graycode6_48.real,12,0.000114s,12,0.022862s
ham15_107.real,4522,0.025258s,1238,1.41334s
ham15_108.real,4522,0.02101s,1238,1.77372s
ham15_109.real,4522,0.022282s,1238,1.40553s
ham15_298.real,-,-,-,-
ham3_102.real,10,0.000114s,10,0.003491s
ham3_103.real,-,-,-,-
ham7_104.real,130,0.00053s,126,0.064075s
ham7_105.real,130,0.000437s,126,0.065133s
ham7_106.real,130,0.000493s,126,0.06717s
ham7_299.real,9290,0.057429s,408,4.51991s
hwb4_49.real,22,0.000207s,20,0.016636s
hwb4_50.real,22,0.000198s,20,0.014267s
hwb4_51.real,-,-,-,-
hwb4_52.real,22,0.000195s,20,0.017533s
hwb5_300.real,291185,11.835s,4942,127.317s
hwb5_53.real,47,0.000537s,38,0.032368s
hwb5_54.real,-,-,-,-
hwb5_55.real,47,0.000375s,38,0.026595s
hwb6_301.real,-,-,-,-
hwb6_56.real,87,0.001856s,80,0.038974s
hwb6_57.real,-,-,-,-
hwb6_58.real,87,0.001031s,80,0.045736s
hwb7_302.real,-,-,-,-
hwb7_59.real,179,0.006226s,155,0.060976s
hwb7_60.real,-,-,-,-
hwb7_61.real,179,0.005481s,155,0.05338s
hwb7_62.real,179,0.009402s,155,0.067112s
hwb8_113.real,343,0.02408s,280,0.079457s
hwb8_114.real,343,0.02241s,280,0.081712s
hwb8_115.real,343,0.022129s,280,0.083226s
hwb8_116.real,343,0.035263s,280,0.105177s
hwb8_117.real,343,0.054042s,280,0.106039s
hwb8_118.real,343,0.024268s,280,0.084726s
hwb8_303.real,-,-,-,-
hwb9_119.real,683,0.147307s,520,0.231837s
hwb9_120.real,683,0.119658s,520,0.205523s
hwb9_121.real,683,0.171052s,520,0.256814s
hwb9_122.real,683,0.158271s,520,0.213762s
hwb9_123.real,683,0.1699s,520,0.314331s
hwb9_304.real,-,-,-,-
in0_235.real,1183,0.017395s,573,8.34376s
in2_236.real,7525,0.500535s,619,5.26346s
inc_237.real,183,0.000879s,141,0.777139s
life_238.real,49,0.00139s,49,0.082853s
lu_326.real,-,-,-,-
lu_327.real,-,-,-,-
majority_239.real,15,0.000134s,14,0.055075s
max46_240.real,83,0.001348s,83,0.1059s
miller_11.real,11,0.000117s,11,0.004928s
miller_12.real,11,0.000217s,11,0.004916s
mini-alu_167.real,18,0.000139s,17,0.016786s
mini_alu_305.real,375,0.001339s,76,0.271469s
misex1_241.real,103,0.000514s,81,0.686652s
misex3_242.real,7719,0.784957s,559,4.88598s
misex3c_243.real,7719,0.745656s,559,5.83475s
misex3c_244.real,7719,0.748592s,559,4.46985s
mlp4_245.real,526,0.00281s,328,1.41214s
mod10_171.real,16,0.000178s,15,0.01499s
mod10_176.real,14,0.000128s,14,0.010076s
mod5adder_127.real,51,0.000348s,44,0.099854s
mod5adder_128.real,51,0.000277s,44,0.103418s
mod5adder_129.real,51,0.000316s,44,0.120693s
mod5adder_306.real,407721,17.1245s,6390,316.06s
mod5d1_63.real,19,0.000152s,14,0.023004s
mod5d2_64.real,16,0.000116s,16,0.014648s
mod5d2_70.real,16,0.000113s,16,0.014106s
mod5mils_65.real,19,0.000113s,14,0.02542s
mod5mils_71.real,19,0.000117s,14,0.026312s
mod8-10_177.real,20,0.000165s,18,0.025493s
mod8-10_178.real,17,0.000135s,17,0.011077s
mux_246.real,131352,0.312873s,134,2.42907s
one-two-three-v0_97.real,41,0.000175s,30,0.038097s
one-two-three-v0_98.real,42,0.00017s,30,0.024179s
one-two-three-v1_99.real,43,0.000158s,27,0.02337s
one-two-three-v2_100.real,46,0.000172s,21,0.025349s
one-two-three-v3_101.real,46,0.00016s,30,0.025603s
parity_247.real,34,0.000305s,34,0.223864s
pcler8_248.real,438,0.000627s,85,1.06218s
pdc_307.real,-,-,-,-
peres_10.real,6,9.2s,6,0.00409s
peres_8.real,6,9.7s,6,0.003544s
peres_9.real,6,0.000109s,6,0.003384s
plus127mod8192_162.real,26,0.005409s,26,0.12739s
plus127mod8192_308.real,69638,39.3357s,117,20.471s
plus63mod4096_163.real,24,0.002248s,24,0.124842s
plus63mod4096_309.real,31750,5.81363s,99,5.61076s
plus63mod8192_164.real,26,0.002991s,26,0.12466s
plus63mod8192_310.real,69638,35.3173s,117,16.2521s
pm1_249.real,81,0.000314s,54,0.258812s
radd_250.real,152,0.000858s,35,0.235543s
rd32-v0_66.real,9,0.000118s,9,0.006496s
rd32-v0_67.real,9,0.000113s,9,0.007477s
rd32-v1_68.real,9,0.000122s,9,0.006694s
rd32-v1_69.real,9,0.000106s,9,0.006908s
rd32_270.real,13,0.000164s,12,0.024344s
rd32_271.real,13,0.00016s,12,0.022688s
rd32_272.real,13,0.000139s,13,0.011017s
rd32_273.real,13,0.000176s,12,0.022977s
rd53_130.real,103,0.000634s,67,0.051707s
rd53_131.real,34,0.000348s,21,0.050076s
rd53_132.real,34,0.000347s,21,0.052566s
rd53_133.real,26,0.000227s,21,0.055499s
rd53_134.real,26,0.000223s,21,0.057118s
rd53_135.real,36,0.000285s,25,0.05421s
rd53_136.real,36,0.00028s,25,0.048132s
rd53_137.real,36,0.000258s,25,0.064935s
rd53_138.real,76,0.000309s,52,0.072566s
rd53_139.real,76,0.000271s,52,0.07654s
rd53_251.real,28,0.000231s,27,0.072144s
rd53_311.real,684,0.003504s,191,0.362071s
rd73_140.real,157,0.000701s,135,0.148175s
rd73_141.real,157,0.00063s,135,0.124389s
rd73_252.real,43,0.000993s,37,0.200055s
rd73_312.real,49705,0.24441s,1713,15.3511s
rd84_142.real,3588,0.007596s,264,0.349793s
rd84_143.real,3588,0.00611s,264,0.374691s
rd84_253.real,56,0.001857s,50,0.276346s
rd84_313.real,131200,4.83304s,5693,157.338s
reals.tgz,-,-,-,-
root_255.real,164,0.001069s,111,0.382843s
ryy6_256.real,53,0.000367s,52,0.410112s
sao2_257.real,127,0.00111s,108,0.493762s
seq_314.real,-,-,-,-
sf_274.real,19,0.000184s,17,0.024337s
sf_275.real,19,0.000237s,17,0.021656s
sf_276.real,18,0.000237s,17,0.025337s
simple_321.real,-,-,-,-
simple_alu_320.real,-,-,-,-
spla_315.real,-,-,-,-
sqn_258.real,105,0.000723s,90,0.136981s
sqr6_259.real,403,0.001466s,164,0.746043s
sqrt8_260.real,129,0.000428s,59,0.372837s
squar5_261.real,158,0.000448s,92,0.230178s
sym10_262.real,48,0.002622s,48,0.087218s
sym6_145.real,28,0.000598s,28,0.026735s
sym6_316.real,1520,0.002383s,109,0.447927s
sym9_146.real,229,0.00138s,184,0.202119s
sym9_147.real,229,0.001175s,184,0.25271s
sym9_148.real,53,0.006017s,53,0.060322s
sym9_192.real,229,0.001335s,184,0.234002s
sym9_193.real,41,0.001388s,41,0.061068s
sym9_317.real,137772,0.553333s,455,55.1501s
sys6-v0_111.real,247,0.000922s,107,0.283099s
sys6-v0_144.real,247,0.000739s,107,0.262045s
t481_263.real,60,0.000404s,55,0.415358s
table3_264.real,1581,0.03477s,842,4.19268s
tial_265.real,4538,0.349467s,932,1.82112s
toffoli_1.real,6,0.000103s,6,0.003018s
toffoli_2.real,6,9.7s,6,0.003085s
toffoli_double_3.real,11,0.000146s,10,0.011711s
toffoli_double_4.real,11,0.000111s,10,0.011143s
urf1_149.real,649,1.58731s,606,0.129473s
urf1_150.real,649,0.115001s,606,0.120098s
urf1_151.real,649,0.102854s,606,0.153243s
