circuit,qubits,gates,time_none,time_sifting,time_group,time_iggroup
4mod5-v1_25.real,5,5,0.0200651,0.0265102,0.0205984,0.0197949
C7552_205.real,21,80,0.0419169,0.165569,0.182627,0.168173
aj-e11_168.real,4,10,0.019844,0.0277539,0.0278964,0.0289998
alu-v2_31.real,5,13,0.0208533,0.0378386,0.0334692,0.0344591
alu-v2_33.real,5,7,0.0196136,0.0246528,0.0230031,0.0226285
alu1_198.real,20,32,0.0306212,0.0722558,0.0725066,0.0716955
alu4_201.real,22,1063,0.633627,2.45279,2.44863,2.47321
cordic_218.real,25,2533,3.52595,8.16921,8.14291,8.32954
decod24-enable_124.real,6,3,0.0195809,0.0197038,0.0203493,0.020119
decod24-enable_126.real,6,14,0.0213572,0.0346805,0.036852,0.0354251
decod24-v1_41.real,4,7,0.0194088,0.0226999,0.0244612,0.0239989
ex3_228.real,6,13,0.0211736,0.0334827,0.0334954,0.0327505
f2_232.real,8,19,0.0224056,0.0428857,0.0444245,0.0440175
fredkin_7.real,3,1,0.0197991,0.0217913,0.0188611,0.0189969
ham3_102.real,3,5,0.0195863,0.020636,0.021054,0.0201036
hwb4_49.real,4,17,0.0205867,0.0389391,0.0393445,0.0388781
hwb5_54.real,5,24,0.0279082,0.0537749,0.0521747,0.0545639
hwb8_117.real,8,748,0.121466,1.33103,1.39329,1.38054
mini_alu_305.real,10,23,0.0231069,0.0528213,0.0505588,0.0504584
parity_247.real,17,32,0.0268991,0.0692982,0.0686216,0.0669541
pcler8_248.real,21,22,0.0289015,0.0553066,0.0537669,0.0540405
plus127mod8192_162.real,13,910,0.221716,1.69299,1.7025,1.68887
pm1_249.real,14,35,0.0259462,0.0770411,0.0743053,0.0764718
rd53_130.real,7,32,0.0229812,0.0675955,0.0670709,0.0649828
ryy6_256.real,17,44,0.0370185,0.0980736,0.0961135,0.0967921
sqn_258.real,10,76,0.0325864,0.154081,0.149853,0.150008
sym9_147.real,12,21,0.0238425,0.0502778,0.0500979,0.0502698
sym9_148.real,10,210,0.0659324,0.400344,0.391744,0.414301
x2_267.real,17,38,0.0296211,0.0856821,0.0806222,0.0880029
